S10	S11	S12	S13	S13prime	S14	S15	S16	S17	S18	S19	S1	S20	S20prime	S21	S22	S23	S24	S25	S26	S27	S28	S29	S2	S30	S31	S32	S33	S34	S35	S36	S37	S38	S3	S4	S5	S6	S7	S8	S9	gene.names
4464	5567	4975	3800	5683	5490	4056	5871	3705	3549	3905	183	4839	6342	5915	7080	7694	13016	4121	10455	8773	9736	7055	1437	14002	12369	5886	12120	8862	4746	7158	1957	2785	419	405	600	606	1616	869	1229	CAGL0I05874g
2152	2230	1918	1547	2416	1990	1537	2301	1244	1208	1671	114	2240	2717	2410	3182	3773	5124	1995	5395	3388	4491	3072	322	5261	4195	2510	4707	4126	2380	4055	570	556	187	249	264	301	885	524	668	CAGL0I05896g
1426	947	802	606	905	731	467	738	316	289	501	241	698	822	642	637	668	1012	340	893	599	545	639	832	810	625	505	600	553	511	558	887	1051	450	514	682	636	823	476	582	CAGL0I05918g
566	228	241	185	258	257	121	182	102	104	111	7	143	183	225	258	225	424	137	374	277	427	185	22	542	253	148	416	314	142	321	40	40	19	10	57	37	184	123	119	CAGL0I05934g
1019	1192	1089	451	616	405	535	730	169	166	650	416	878	1028	386	390	1254	827	698	2052	701	482	994	930	889	1274	998	707	527	947	582	1245	1257	622	858	993	1059	1041	694	451	CAGL0I05940g
2503	2591	2255	1916	2930	2145	1880	2960	1626	1492	2163	201	3047	3767	3106	3450	4721	6357	2533	6531	4546	4916	3770	583	6680	5511	3100	6160	4590	2923	5065	1093	1054	306	371	496	466	1052	633	817	CAGL0I05962g
457	356	310	276	417	273	268	383	197	207	298	91	421	498	409	490	695	1048	437	1291	779	824	756	225	1107	891	623	1068	870	705	1130	408	437	116	130	153	156	203	131	136	CAGL0I05984g
351	66	59	49	85	41	30	53	23	16	62	648	76	98	74	75	154	264	161	428	314	270	201	1333	449	212	234	451	456	359	611	1585	1843	791	1014	805	1070	173	190	153	CAGL0I06006g
687	676	575	435	620	506	426	697	292	221	486	55	706	778	522	632	962	923	574	1457	734	878	934	225	1363	1169	825	1106	1067	834	1150	356	335	151	172	226	235	390	217	222	CAGL0I06028g
111331	81428	57380	65266	97954	66105	29373	43795	37200	28068	22023	12589	25722	34087	44738	35566	8473	29646	2681	4999	17347	14856	5360	53976	35656	21579	4890	34338	21758	7242	30851	50516	39686	40016	53811	64432	64875	61102	32687	41336	CAGL0I06050g
1628	1530	1287	995	1527	1197	920	1509	823	785	1082	184	1471	1691	1492	1824	1953	2685	967	2532	1869	2000	1462	550	2577	1935	1151	2209	1978	1138	2012	798	720	351	419	532	588	820	548	618	CAGL0I06072g
1751	1763	1511	1368	2051	1560	1007	1649	1017	884	1148	93	1411	1896	1800	2034	2145	3366	1129	3091	2279	2345	1790	315	3454	2532	1489	3063	2291	1549	2492	639	591	145	228	349	317	857	536	640	CAGL0I06094g
35	19	23	26	26	30	19	37	28	15	25	7	33	27	44	41	60	76	29	69	61	63	56	23	105	62	39	96	80	43	95	37	46	6	13	6	21	19	19	9	CAGL0I06116g
249	272	248	159	239	191	227	389	167	139	349	44	497	644	392	403	1008	957	564	1669	775	827	1144	135	1314	2034	1192	1314	1049	1308	1435	183	180	74	109	95	100	142	77	86	CAGL0I06138g
9680	8451	7944	4985	6897	4095	3924	4953	2264	1429	3876	3561	4175	5798	4459	3768	8502	10523	3463	6910	8329	4825	5110	10137	13951	11821	6312	12200	6805	7391	8539	11033	12683	5897	8340	7889	9234	6740	4687	4556	CAGL0I06160g
2736	2451	1713	1913	2692	2314	1596	2266	1502	1191	1873	493	2494	3251	3167	3136	2222	5174	1180	2419	3055	2722	1316	1592	5598	2190	827	5303	3116	1387	3873	1993	2097	1018	1116	1274	1468	1422	820	941	CAGL0I06182g
2415	1982	1404	1452	2024	1728	1084	1546	935	757	1243	612	1647	1919	1763	1827	1318	2223	668	1340	1314	1154	844	1603	2416	1162	480	2217	1266	802	1655	1746	1969	1085	1259	1225	1495	1265	756	917	CAGL0I06204g
117	65	51	42	60	44	38	41	24	25	59	78	56	73	90	75	144	228	106	272	164	190	195	154	242	145	127	250	228	206	259	184	192	73	155	110	137	80	47	59	CAGL0I06226g
517	390	354	289	437	308	285	474	258	250	351	217	485	621	660	635	841	1229	543	1459	978	1039	813	556	1695	580	536	1147	1303	694	1516	594	633	378	454	516	513	398	246	219	CAGL0I06248g
4570	3174	3191	2927	3967	3316	3013	5252	2542	2225	3719	901	4953	6682	5185	5658	7168	10058	3769	10828	6325	6357	5462	2557	8538	6859	5186	7386	6027	5451	6809	3854	4084	993	1382	1931	2255	1528	1096	1588	CAGL0I06270g
556	477	418	365	565	401	378	629	355	327	523	99	715	885	792	887	1194	1641	645	1964	1229	1426	1027	238	1841	1452	909	1675	1564	959	1630	382	433	112	133	211	167	304	176	202	CAGL0I06292g
636	549	461	372	549	420	337	620	270	260	465	171	659	844	635	714	949	1251	493	1479	927	968	838	484	1315	763	768	1113	1120	784	1296	709	738	229	295	347	363	369	238	258	CAGL0I06314g
804	434	415	385	554	362	283	427	208	193	328	518	423	535	469	451	520	769	267	813	520	584	385	1173	770	368	390	686	560	446	711	1341	1562	673	732	851	928	468	359	419	CAGL0I06336g
1021	900	740	566	888	641	561	885	454	401	589	219	870	1005	960	1095	1379	1889	692	1997	1299	1763	1141	543	2226	1084	970	1782	1860	1006	2050	656	718	358	444	514	541	655	411	389	CAGL0I06358g
1297	926	770	786	1239	1012	549	843	615	634	511	202	864	885	1180	1489	1248	2024	731	1959	1281	1685	1244	690	2181	1594	1253	1772	1627	1570	2047	1078	1122	353	475	520	458	382	293	399	CAGL0I06380g
2113	1928	1599	1439	2078	1597	1146	1896	1111	1055	1264	214	1806	2329	2179	2704	2459	4097	1197	3327	2380	3002	1858	683	3604	2359	1468	2664	2428	1415	2314	1081	1172	423	526	657	763	1084	580	745	CAGL0I06402g
1798	1612	1412	1239	1817	1377	1094	1798	987	765	1257	142	1613	2149	1706	1823	2235	2875	1211	3296	1960	2108	1733	441	2667	2801	1639	2452	2014	1532	2110	564	595	283	316	403	445	921	490	669	CAGL0I06424g
466	311	300	229	327	230	161	229	134	118	197	74	219	294	262	308	387	464	195	450	426	389	258	210	563	284	228	478	479	296	457	288	307	130	211	187	232	226	158	171	CAGL0I06446g
626	464	447	364	490	385	293	479	226	234	313	99	456	630	430	537	739	826	404	1090	565	728	527	273	841	728	444	696	640	439	771	314	380	167	208	228	273	260	161	207	CAGL0I06457g
272	127	116	81	125	90	82	151	74	48	115	406	168	201	218	209	383	526	311	683	432	465	477	1203	679	455	398	580	490	447	661	1418	1729	596	698	656	769	258	166	168	CAGL0I06490g
1447	1186	1066	795	1205	889	622	1070	524	552	691	319	898	1078	1130	1277	1382	1995	712	1924	1381	1807	1097	795	2327	1115	855	1731	1799	1034	1937	868	936	473	556	652	733	850	505	535	CAGL0I06512g
1376	1194	1050	929	1356	986	874	1395	597	567	1045	295	1342	1543	1006	1117	1117	1411	521	1289	778	879	835	918	1150	873	690	840	747	559	787	1121	1352	445	504	636	643	825	504	531	CAGL0I06534g
509	640	590	394	565	435	559	873	328	296	652	82	856	1145	599	714	1075	959	509	1446	625	721	709	260	831	815	688	691	658	562	599	515	449	158	196	259	246	369	226	200	CAGL0I06556g
729	753	600	543	725	556	447	666	343	303	526	118	608	860	627	647	895	1108	454	1186	653	729	590	339	868	721	563	680	622	554	572	520	512	187	256	323	355	475	271	324	CAGL0I06578g
1494	1158	841	745	1046	818	638	875	460	413	638	378	831	1081	975	977	1180	1716	683	1498	1171	1222	981	1240	1679	945	816	1418	1307	839	1478	1282	1398	830	933	1019	1019	1060	575	680	CAGL0I06600g
84	15	28	17	25	20	8	8	7	6	18	8	16	34	41	74	36	152	10	14	156	172	16	20	230	14	7	211	220	12	231	26	20	3	13	21	19	50	12	22	CAGL0I06644g
476	542	357	290	385	268	214	314	182	151	276	158	386	444	412	440	616	968	291	539	605	583	404	506	950	628	400	759	644	410	765	543	594	347	406	426	472	438	259	283	CAGL0I06666g
1262	911	918	674	1093	693	519	888	450	443	688	431	903	1232	975	1082	1402	2044	878	2539	1567	1432	1263	947	2094	1445	1090	1845	1603	1141	1769	1144	1356	554	773	637	829	709	458	504	CAGL0I06688g
220	181	157	93	163	116	91	110	72	64	82	47	139	159	131	170	144	355	89	222	220	275	129	143	373	138	96	303	411	87	413	117	121	49	71	78	110	135	89	87	CAGL0I06710g
1432	1061	1029	753	1036	771	573	934	426	358	580	399	811	1106	809	903	1158	1634	718	2227	1209	1368	1017	898	1861	1287	1028	1654	1645	1119	1971	1181	1223	621	744	791	855	755	481	550	CAGL0I06721g
3173	2288	2575	2603	4012	2097	1423	2942	1967	1566	1817	759	2463	3100	4671	4409	2813	7498	1780	6810	5396	4879	2199	3213	7331	1089	2112	5061	6043	1929	6413	1563	1657	2076	2880	4164	3625	1781	1026	1471	CAGL0I06743g
665	583	474	405	627	460	382	566	271	221	378	84	512	659	557	599	712	858	419	1053	603	755	662	273	1027	823	570	820	919	641	850	317	319	185	254	294	296	383	225	233	CAGL0I06765g
1212	1127	875	804	1050	896	573	792	426	343	525	158	687	953	708	821	876	1185	378	825	691	678	578	491	919	894	472	708	622	392	490	596	561	266	345	465	472	959	446	508	CAGL0I06787g
264	337	253	210	289	251	186	231	125	98	206	31	195	292	258	261	324	459	159	390	298	296	194	99	398	382	168	364	296	164	342	133	134	56	57	71	92	210	89	110	CAGL0I06809g
3020	2597	2211	1846	2799	2188	2075	3587	1228	1100	2590	504	3083	4034	1935	2081	2447	2287	1047	3283	1308	1369	1579	1687	1726	1500	1617	1498	1390	1291	1442	1613	1741	981	1055	1206	1228	1673	947	1130	CAGL0I06831g
545	426	417	393	494	434	356	546	289	239	367	145	493	631	552	713	793	1024	403	1005	651	734	570	347	1038	662	520	736	757	618	882	504	495	195	262	266	301	273	190	230	CAGL0I06853g
397	342	277	192	352	210	214	316	154	131	274	83	311	477	354	404	718	797	360	1071	506	628	630	196	804	780	488	747	593	564	647	339	351	134	167	167	184	210	116	137	CAGL0I06875g
479	408	390	289	396	277	288	459	205	197	332	167	464	535	424	424	650	755	314	974	635	660	453	364	850	504	383	803	786	403	883	472	570	218	288	301	322	241	187	213	CAGL0I06919g
332	284	213	204	251	211	168	257	132	108	167	70	262	349	250	277	332	457	197	522	311	356	352	229	586	501	294	481	482	343	414	324	344	131	189	181	212	180	101	124	CAGL0I06941g
1436	1277	1203	936	1337	959	860	1380	657	517	1069	313	1253	1688	1326	1366	1722	2158	822	2251	1415	1335	1255	689	1946	1625	1009	1516	1300	963	1294	937	1115	457	555	591	660	757	483	569	CAGL0I06963g
625	444	438	294	443	318	220	420	176	173	291	163	423	569	434	483	782	921	490	1636	708	822	689	403	1031	689	593	928	956	677	1157	493	517	245	321	318	402	405	258	269	CAGL0I06985g
1009	886	725	660	1026	803	596	935	563	515	739	168	1150	1476	1320	1554	2107	3095	1275	3400	2248	2664	1913	519	3388	2249	1722	2963	2673	1842	2961	962	955	312	407	529	567	504	359	367	CAGL0I07007g
363	228	224	198	294	218	116	191	152	105	148	67	176	217	293	341	363	646	159	461	564	634	284	186	926	278	240	751	721	270	854	277	237	91	137	144	160	182	104	132	CAGL0I07029g
3683	2691	2157	1900	2601	2188	1188	1623	1420	1299	1127	1053	1515	1857	3282	3483	2141	7346	1303	3713	6395	7555	2891	3306	12500	3141	2360	12670	11514	2787	12540	3926	5121	2105	2144	2125	2232	2001	1392	1465	CAGL0I07051g
875	711	587	427	619	425	363	477	301	228	402	302	523	657	537	560	739	908	362	891	593	539	517	813	817	659	455	657	545	474	573	1000	1077	461	655	665	742	544	375	364	CAGL0I07073g
414	272	238	245	327	232	181	283	174	137	229	108	320	429	379	436	586	886	326	891	588	671	588	265	995	637	498	729	683	484	685	462	401	138	228	246	261	230	142	168	CAGL0I07095g
392	254	213	183	266	167	101	171	89	73	187	143	216	279	309	239	352	639	220	514	431	376	319	363	551	349	341	367	361	263	384	481	453	239	300	308	357	233	169	148	CAGL0I07117g
5463	5664	4537	4434	6314	5580	4309	6706	3804	3694	4763	341	6423	8350	6899	7713	6718	9861	2740	6586	5165	5020	4146	1652	6360	7231	3204	4864	3174	2584	3231	3665	3934	580	680	1345	1317	2203	1257	1728	CAGL0I07139g
1175	897	795	671	947	834	508	817	479	470	600	222	890	1049	1071	1162	1370	2038	703	1916	1444	1657	1102	554	2136	1349	974	1716	1622	896	1661	754	799	360	420	491	496	637	370	413	CAGL0I07161g
1084	854	685	644	961	716	505	773	568	489	501	307	766	886	1254	1402	981	2485	623	1586	1703	2306	1044	855	2893	975	838	2478	2522	1032	2754	1324	1519	305	422	452	490	576	441	447	CAGL0I07183g
1543	1165	1080	894	1365	1021	733	1212	724	649	883	195	1135	1475	1486	1701	1572	2710	826	2346	1793	2073	1233	555	2543	1451	1046	2159	1936	1037	1931	806	807	292	367	416	479	714	458	537	CAGL0I07205g
7660	7992	6535	5762	8234	6679	5366	8006	4586	4155	5774	1075	7656	9281	8047	8874	10187	13145	6013	13888	7515	7124	9158	4451	10366	11719	7422	9089	5476	7234	5880	8714	9652	2264	2698	4116	4338	4054	2385	2744	CAGL0I07227g
57	75	44	103	81	155	85	103	110	147	67	0	116	168	234	395	279	507	121	90	313	455	200	3	645	412	95	523	329	125	372	8	10	3	4	2	2	15	12	17	CAGL0I07249g
1145	1013	856	732	1144	908	707	1014	565	537	711	132	1028	1290	1107	1320	1597	1885	802	2252	1222	1528	1353	348	1849	1552	1035	1499	1324	1033	1235	446	466	199	296	321	347	532	352	419	CAGL0I07271g
63	58	38	29	47	22	31	35	5	8	35	40	42	73	13	33	100	20	54	164	14	21	125	108	28	115	103	16	30	126	25	110	127	71	118	101	127	79	47	32	CAGL0I07293g
1448	620	626	875	1261	866	258	439	415	293	356	218	429	628	811	761	657	1426	407	1107	915	888	584	493	1235	638	506	871	850	567	973	484	515	303	426	456	474	526	303	604	CAGL0I07315g
669	283	255	319	487	357	115	237	167	184	132	79	186	207	312	371	142	375	76	219	302	374	135	244	510	193	163	522	599	165	998	217	192	160	206	244	261	246	170	236	CAGL0I07359g
1017	620	548	528	928	572	361	508	365	306	334	102	459	613	636	661	630	1043	364	973	839	924	474	248	1109	611	417	1145	943	419	1176	360	376	198	249	347	348	385	262	348	CAGL0I07381g
22	35	27	28	32	22	9	19	10	11	12	5	13	22	27	17	26	27	16	59	22	19	29	6	45	29	34	37	29	29	40	4	11	0	9	6	2	16	7	6	CAGL0I07425g
16937	7874	6697	9754	14856	10441	3379	5337	5854	5172	3230	3159	4034	5208	10481	11311	3572	14164	1912	4761	10673	10960	3602	9919	20526	5944	3075	17028	15073	3602	17938	9336	9875	5959	8039	9188	9673	6785	3976	6235	CAGL0I07447g
183	134	160	108	137	94	82	193	37	51	144	39	164	203	119	136	320	345	208	513	257	323	338	122	447	338	342	386	391	323	461	197	150	57	100	95	135	107	81	52	CAGL0I07469g
952	1747	1867	1059	1656	886	952	1841	692	460	1042	284	1514	2159	1283	1182	2502	2994	1197	4315	2475	2513	1890	761	4045	1940	1790	3059	3052	1555	2650	831	820	460	691	829	911	1232	847	581	CAGL0I07491g
1245	1254	1034	861	1098	890	868	1104	605	511	803	134	1176	1438	1155	1312	1640	2069	823	1968	1335	1514	1457	402	2331	2092	1190	1646	1646	1085	1517	656	615	282	378	429	480	645	400	403	CAGL0I07513g
328	128	116	79	107	78	74	106	72	58	144	337	193	251	268	330	576	932	368	993	899	946	595	901	1218	460	498	1070	1120	530	1210	926	1103	554	751	692	784	278	211	178	CAGL0I07535g
3	0	0	0	0	0	0	0	0	1	0	1	2	1	0	0	4	5	1	3	5	1	1	3	2	1	4	5	4	3	2	0	0	0	2	0	1	1	1	0	CAGL0I07546r
4772	2202	1872	2179	3349	2387	790	1177	934	776	853	400	1083	1441	1784	1839	1583	3525	828	2105	2261	2159	1201	1100	3254	1438	998	2714	2152	906	1763	1164	1502	773	824	1065	1080	2162	1060	1798	CAGL0I07557g
1811	1359	1140	726	1034	714	636	1018	364	303	771	835	888	1144	762	643	1344	1312	631	1684	935	852	1000	2078	1283	1013	763	1104	971	971	1220	2402	2825	1551	1750	1743	1917	1298	892	868	CAGL0I07579g
564	470	390	399	597	457	257	436	237	233	322	86	351	413	458	558	383	744	160	383	371	482	224	267	585	213	177	458	405	191	432	335	354	101	151	168	159	240	167	247	CAGL0I07601g
452	368	304	270	369	250	207	337	160	155	224	123	310	384	390	368	503	649	298	758	467	607	531	426	795	458	434	745	706	512	827	502	574	208	303	322	348	303	195	186	CAGL0I07623g
629	461	423	269	420	255	219	294	134	101	281	351	337	489	335	348	564	808	342	842	547	471	557	864	927	719	573	706	605	537	659	996	1041	507	720	796	821	487	339	299	CAGL0I07645g
192	90	88	44	72	46	59	84	32	19	81	298	138	164	109	107	285	322	248	566	259	236	414	848	425	458	402	383	330	384	363	905	940	476	690	594	687	178	154	94	CAGL0I07667g
396	182	176	199	267	203	108	169	114	102	166	266	174	257	281	262	276	690	213	519	513	396	340	669	752	318	278	625	487	309	628	737	856	422	470	379	534	224	162	179	CAGL0I07689g
32	48	37	22	26	16	30	49	23	9	64	27	58	80	51	37	131	102	100	246	91	114	164	44	176	214	179	179	148	167	256	74	73	66	79	64	55	44	29	28	CAGL0I07711g
627	594	525	310	430	296	279	342	189	125	449	221	484	666	474	461	685	1254	321	625	856	763	586	465	1426	875	632	1110	1052	440	1269	599	521	379	476	462	561	586	353	307	CAGL0I07733g
874	642	592	465	757	556	474	824	433	434	524	325	765	957	923	1145	1317	1913	785	2132	1323	1678	1096	741	1953	919	904	1432	1681	1064	1776	778	877	488	676	615	707	494	338	299	CAGL0I07755g
269	229	220	148	204	133	104	171	84	78	150	151	171	251	194	184	333	391	162	481	240	246	282	319	399	202	189	251	193	166	205	382	361	206	324	300	383	178	131	103	CAGL0I07777g
764	396	309	245	321	211	187	233	128	98	204	716	283	351	287	283	500	672	278	805	516	445	522	1700	810	496	482	690	624	610	661	1995	2147	1102	1376	1289	1459	489	393	395	CAGL0I07799g
2908	2944	2507	1955	3020	2362	2047	3294	1599	1486	2243	393	3177	3909	3247	3595	4687	5506	2499	6966	3671	4731	4126	2000	5837	4957	3504	4723	4527	3336	4811	1713	1758	794	1207	1305	1427	1502	926	1016	CAGL0I07821g
97	163	123	106	95	113	75	120	44	36	94	10	127	167	100	136	178	192	79	281	171	218	198	39	316	306	163	261	230	188	243	102	98	42	27	38	39	91	43	23	CAGL0I07837g
35430	36242	32857	20900	28746	22908	26158	43053	14704	14324	30263	5453	42248	55012	28596	33319	72738	50278	44802	135692	36242	34331	76036	5293	51732	64159	71345	33026	30429	67734	24543	13325	11254	12472	11145	10922	10492	26139	14875	13648	CAGL0I07843g
1961	2542	2143	1766	2676	2350	2462	3959	1964	1920	3239	50	4581	5278	4217	5045	8944	9630	5105	13423	7017	8136	8861	104	11536	11075	6292	10041	8385	6190	8815	634	594	64	48	104	67	800	417	574	CAGL0I07865g
1097	1086	984	793	1212	830	748	1125	559	523	826	71	1086	1300	1203	1426	1581	2376	799	2198	1564	1934	1204	250	2504	1873	1009	2218	1870	985	1994	431	347	120	179	256	251	469	239	350	CAGL0I07887g
1431	1145	980	851	1413	1096	751	1207	705	684	798	208	1117	1497	1301	1531	1867	2376	1125	3670	1650	2180	1912	542	2625	1949	1728	2230	2574	1699	2760	539	609	411	534	494	608	777	499	496	CAGL0I07909g
165	78	105	85	115	83	50	95	56	49	86	205	94	142	142	161	227	348	134	342	274	257	207	499	392	189	170	387	352	188	431	536	755	256	303	299	348	95	94	77	CAGL0I07931g
461	394	341	283	413	278	272	435	220	222	351	103	462	585	503	646	868	1024	472	1414	786	941	712	225	1242	843	615	987	973	664	1036	370	387	161	206	223	249	267	193	180	CAGL0I07953g
1179	788	841	687	931	767	586	1096	445	441	638	258	891	1117	835	988	972	1376	503	1409	769	849	642	855	897	734	592	775	760	608	842	1154	1135	322	389	607	626	531	311	409	CAGL0I07969g
578	111	104	85	128	76	65	92	47	44	119	1038	164	200	176	159	402	630	349	951	608	463	516	2402	963	425	587	819	722	649	966	2563	3107	1382	1818	1524	1825	380	361	333	CAGL0I07975g
247	107	93	75	91	62	65	76	37	26	97	302	123	127	113	110	236	280	174	423	256	241	258	624	399	212	266	360	370	296	517	709	831	420	565	523	657	216	150	130	CAGL0I07997g
667	692	601	433	709	478	514	809	349	366	682	149	838	1010	783	871	1431	1474	856	2279	1137	1261	1316	383	1757	1384	960	1318	1266	1071	1428	491	530	253	330	328	358	455	296	277	CAGL0I08019g
443	283	276	222	277	212	156	229	105	82	170	113	215	231	181	209	195	323	111	388	171	214	155	237	216	179	188	192	185	151	230	306	309	143	160	209	224	255	141	168	CAGL0I08041g
532	358	333	278	348	302	187	324	176	156	221	115	323	386	323	406	465	563	268	852	468	460	388	305	710	394	278	553	552	400	624	384	409	190	279	254	310	267	188	224	CAGL0I08063g
846	586	548	448	696	475	345	594	242	213	351	222	433	593	492	485	543	857	297	865	548	643	294	556	732	320	294	692	685	321	855	632	702	318	348	379	458	453	318	288	CAGL0I08085g
646	429	391	297	419	314	210	289	191	139	233	197	292	356	301	298	435	570	227	680	405	446	351	518	619	500	346	557	520	451	539	685	655	293	327	421	461	365	248	238	CAGL0I08107g
60	69	76	61	108	64	81	107	57	55	75	8	67	118	124	122	139	212	66	171	127	157	90	48	155	86	59	177	128	74	131	44	55	12	27	16	20	30	29	31	CAGL0I08151g
813	560	478	357	507	438	268	418	238	196	292	292	386	466	359	461	600	777	330	799	449	569	357	691	691	357	289	519	466	340	543	779	812	482	562	636	695	509	320	337	CAGL0I08195g
2427	1836	1520	1196	1745	1246	1075	1410	795	656	1168	567	1415	1895	1498	1527	2139	2727	1178	2880	1897	1836	1752	1283	2908	2290	1450	2478	2116	1444	2381	1894	1983	919	1115	1292	1345	1490	908	1022	CAGL0I08217g
3767	3088	2565	1966	2972	2339	1593	2371	1217	1131	1659	677	1996	2535	2266	2565	2672	3936	1312	3514	2395	2394	1726	1506	3175	2413	1418	2673	2231	1466	2406	2057	2014	978	1145	1428	1693	2241	1292	1600	CAGL0I08239g
765	563	514	351	531	395	345	535	257	230	377	198	561	675	491	549	824	944	451	1149	727	735	671	543	1028	751	576	865	773	644	898	671	784	306	402	427	501	434	289	300	CAGL0I08261g
2350	2340	1837	1715	2300	1913	1744	2480	1353	1210	2035	339	2589	3506	2620	2834	3771	5197	1791	4155	2885	2912	2447	1356	3942	3710	2244	3283	2418	1852	2323	1918	1985	809	1010	1122	1318	1612	879	901	CAGL0I08283g
1758	2478	1965	1540	2247	2107	1727	2643	1443	1157	1754	65	2617	3271	2636	3048	3530	4348	1702	4453	2734	3349	3193	130	4442	5128	2693	3471	2904	2679	2842	400	272	136	126	160	186	669	358	396	CAGL0I08305g
4446	1915	1617	1394	2125	1484	791	1081	717	574	981	2002	1205	1602	1611	1511	1898	3110	1191	2797	2053	1717	1893	5439	3042	1471	1736	2574	1952	1915	2167	6314	7349	3566	4612	4583	4910	2834	1761	2041	CAGL0I08327g
758	552	406	424	552	411	307	487	268	236	311	226	410	530	569	636	734	986	381	898	627	771	579	606	1001	548	452	775	792	475	923	838	829	389	492	525	554	506	268	310	CAGL0I08349g
661	468	385	312	437	318	238	366	190	181	287	182	366	430	408	448	506	775	278	727	593	702	463	450	844	349	395	697	723	383	808	603	598	245	306	360	432	380	216	281	CAGL0I08371g
1304	597	463	345	453	321	256	381	176	137	352	956	479	528	439	428	758	1020	509	1208	748	690	843	2672	1106	893	734	922	747	1020	929	3077	3760	1634	2028	1865	1951	892	675	664	CAGL0I08393g
637	544	520	400	599	438	300	485	291	255	328	87	468	549	512	614	649	873	367	1096	640	739	520	258	892	572	421	754	709	438	815	360	407	157	207	230	285	342	225	203	CAGL0I08415g
392	363	289	194	335	254	205	331	180	168	298	167	412	500	425	468	646	826	409	1054	676	759	681	465	1014	641	567	804	796	570	890	634	696	266	390	387	460	318	202	190	CAGL0I08437g
2484	1867	1670	1297	1896	1290	901	1361	742	633	1083	591	1211	1636	1376	1362	1820	2653	909	2145	2022	1669	1439	1739	3053	2279	1482	2640	1963	1574	2136	2333	2703	1044	1369	1345	1615	1389	881	987	CAGL0I08459g
1193	834	705	709	929	721	513	850	363	320	537	211	648	794	519	593	537	652	222	620	306	406	283	636	384	350	235	281	305	210	371	711	700	327	360	455	540	625	398	426	CAGL0I08481g
626	281	240	213	297	253	136	205	107	119	180	53	283	325	308	356	500	812	313	863	602	761	544	147	1131	669	508	849	827	485	884	192	220	117	209	201	240	437	201	239	CAGL0I08503g
1202	952	959	656	1072	741	558	927	467	399	687	190	995	1320	1015	1156	1472	2074	884	2476	1374	1750	1369	562	2411	1600	1209	1848	1673	1163	1675	726	825	371	428	547	589	708	451	506	CAGL0I08525g
516	106	72	80	85	65	56	47	21	22	56	754	66	93	79	85	168	249	139	353	256	223	256	2037	462	208	296	379	350	276	453	2202	2886	1274	1610	1270	1529	376	255	233	CAGL0I08547g
769	604	498	460	614	445	316	565	289	292	383	205	480	619	597	644	693	1028	344	868	730	878	466	505	1050	649	403	884	777	425	957	627	577	305	438	449	522	423	298	264	CAGL0I08569g
210	216	162	143	202	172	130	141	70	97	126	14	178	252	213	246	340	613	192	508	559	641	386	62	1117	783	476	1052	867	457	1281	168	189	33	38	61	50	142	77	65	CAGL0I08591g
317	108	79	136	131	194	58	91	193	191	84	85	203	245	909	1170	383	3489	269	298	3371	4018	543	657	6281	406	507	4696	5547	417	4285	617	732	312	418	378	427	181	109	146	CAGL0I08613g
738	626	553	447	582	457	351	584	316	274	448	140	575	834	620	738	945	1345	460	1251	1015	1135	755	505	1599	1016	641	1381	1092	677	1344	520	635	358	452	447	464	448	267	284	CAGL0I08635g
1343	1235	1074	869	1210	896	693	1039	561	480	779	229	1069	1396	1169	1363	1512	2286	775	1961	1458	1539	1258	624	2231	1609	1104	1733	1334	949	1154	830	917	425	594	613	658	895	469	514	CAGL0I08701g
900	771	730	511	845	632	529	754	345	346	478	119	682	817	600	625	664	846	285	754	520	541	382	375	702	476	343	562	540	317	548	462	439	189	222	290	349	475	291	340	CAGL0I08723g
858	678	532	422	673	478	370	545	315	307	429	120	536	650	676	711	753	1315	391	1117	910	1033	671	324	1415	660	461	1181	1135	435	1371	596	726	192	205	247	256	436	318	282	CAGL0I08745g
508	345	332	246	356	253	198	300	170	133	207	182	315	371	331	410	500	807	290	777	536	620	488	347	696	572	376	617	538	360	547	476	477	204	338	332	383	233	145	160	CAGL0I08767g
383	275	259	170	230	178	156	274	118	94	189	147	288	325	228	287	452	481	243	665	302	397	454	371	504	428	417	386	371	406	534	545	573	205	295	279	346	245	144	154	CAGL0I08789g
84	84	67	35	81	43	53	56	41	38	76	36	94	119	90	86	143	181	93	210	152	174	116	91	237	185	135	208	209	137	261	118	115	39	63	81	77	70	52	34	CAGL0I08811g
4223	3697	3469	2819	4088	3030	2072	3300	1768	1549	2104	638	2753	3460	2992	3277	3391	5073	1724	4246	3040	2730	2110	1683	3853	3034	1865	3283	2172	1761	2455	2439	2477	1159	1362	1629	1790	2136	1253	1633	CAGL0I08833g
502	391	335	262	369	252	182	276	178	139	210	140	297	313	304	319	355	537	202	602	355	346	300	364	451	333	276	402	385	306	448	444	473	200	274	323	328	287	209	206	CAGL0I08855g
2372	1941	1623	1485	2170	1721	1318	2033	925	814	1372	429	1782	2160	1331	1550	1349	1614	515	1551	767	889	860	1372	1122	901	694	826	735	696	832	1609	1714	755	768	1052	1083	1226	786	943	CAGL0I08877g
316	247	232	155	224	143	168	235	93	75	236	147	269	333	242	240	460	548	233	571	411	502	392	320	691	392	355	537	628	327	776	381	388	167	212	237	298	263	202	164	CAGL0I08899g
